number,input_file,output_file,frames,width,height,source_has_transparency,status,note
1,output-gif-all\achillesmon.gif,output-webm-all\achillesmon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
2,output-gif-all\aegisdramon.gif,output-webm-all\aegisdramon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
3,output-gif-all\aero-v-dramon.gif,output-webm-all\aero-v-dramon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
4,output-gif-all\agnimon.gif,output-webm-all\agnimon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
5,output-gif-all\agumon-2006.gif,output-webm-all\agumon-2006.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
6,output-gif-all\agumon-black.gif,output-webm-all\agumon-black.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
7,output-gif-all\agumon.gif,output-webm-all\agumon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
8,output-gif-all\airdramon.gif,output-webm-all\airdramon.webm,1,1152,1152,True,skipped,GIF estático: possui apenas 1 frame.
9,output-gif-all\ajatarmon.gif,output-webm-all\ajatarmon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
10,output-gif-all\aldamon.gif,output-webm-all\aldamon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
11,output-gif-all\algomon-adult.gif,output-webm-all\algomon-adult.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
12,output-gif-all\alphamon-ouryuken.gif,output-webm-all\alphamon-ouryuken.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
13,output-gif-all\alphamon.gif,output-webm-all\alphamon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
14,output-gif-all\amaterasumon.gif,output-webm-all\amaterasumon.webm,2,576,576,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
15,output-gif-all\amphimon.gif,output-webm-all\amphimon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
16,output-gif-all\ancient-beatmon.gif,output-webm-all\ancient-beatmon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
17,output-gif-all\ancient-garurumon.gif,output-webm-all\ancient-garurumon.webm,2,1152,1152,True,ok,Convertido para WebM VP9 com alpha. O loop é controlado pelo player/Foundry.
